plate	position	well	score	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	GeneID	Entrez_gene_ID
3	218	J02	0.72	allstar	allstar	3129650	3112550	2967420	3112550	3069873.33333333	1.08	1.16	1.25	0.114	0.209	0.324	NA	NA
3	45	B21	0.72	sample	sample	3270270	3152740	2766710	3152740	3063240	1.13	1.17	1.17	0.178	0.227	0.223	NA	NA
2	68	C20	0.72	sample	sample	2911700	2788330	2810540	2810540	2836856.66666667	1.12	1.16	1.25	0.17	0.209	0.322	CSNK1A1L	122011
3	281	L17	0.71	sample	sample	3492210	3110680	2764920	3110680	3122603.33333333	1.21	1.15	1.17	0.272	0.208	0.222	NA	NA
3	100	E04	0.71	sample	sample	3348720	3016950	2952730	3016950	3106133.33333333	1.16	1.12	1.25	0.212	0.164	0.317	NA	NA
2	109	E13	0.71	sample	sample	2938590	2785330	2699940	2785330	2807953.33333333	1.14	1.15	1.2	0.183	0.207	0.264	AK3	205
2	348	O12	0.71	sample	sample	2997700	2767470	2729180	2767470	2831450	1.16	1.15	1.21	0.212	0.198	0.28	DTYMK	1841
2	42	B18	0.7	sample	sample	2891980	2781470	2716580	2781470	2796676.66666667	1.12	1.15	1.21	0.16	0.205	0.273	BMPR1A	657
3	18	A18	0.7	sample	sample	3342000	3001620	2824880	3001620	3056166.66666667	1.16	1.11	1.19	0.209	0.156	0.253	NA	NA
3	225	J09	0.7	sample	sample	3340040	3152270	2727920	3152270	3073410	1.16	1.17	1.15	0.208	0.227	0.202	NA	NA
3	13	A13	0.7	sample	sample	3360760	3059040	2755710	3059040	3058503.33333333	1.16	1.14	1.16	0.217	0.184	0.217	IHPK2	51447
2	191	H23	0.7	sicon2	sicon2	2990040	2806700	2488480	2806700	2761740	1.15	1.16	1.11	0.208	0.218	0.147	NA	NA
1	91	D19	0.7	sample	sample	2606450	2519190	2216610	2519190	2447416.66666667	1.17	1.15	1.09	0.225	0.203	0.121	MAP3K15	389840
1	139	F19	0.69	sample	sample	2543990	2729200	2367920	2543990	2547036.66666667	1.14	1.25	1.16	0.19	0.318	0.216	RIPK1	8737
2	11	A11	0.69	sample	sample	2988350	2572460	2739700	2739700	2766836.66666667	1.15	1.07	1.22	0.207	0.092	0.286	LOC340156	340156
3	321	N09	0.69	sample	sample	3336920	2974690	2813940	2974690	3041850	1.15	1.1	1.19	0.207	0.143	0.247	NA	NA
2	119	E23	0.69	sicon2	sicon2	2987650	2861130	2479190	2861130	2775990	1.15	1.19	1.1	0.207	0.246	0.141	NA	NA
3	194	I02	0.69	allstar	allstar	3333130	3023650	2780750	3023650	3045843.33333333	1.15	1.12	1.17	0.205	0.167	0.23	NA	NA
1	315	N03	0.69	sample	sample	2569670	2365730	2483890	2483890	2473096.66666667	1.15	1.08	1.22	0.205	0.112	0.285	MAP3K12	7786
3	176	H08	0.69	sample	sample	3283350	3143150	2749190	3143150	3058563.33333333	1.14	1.17	1.16	0.183	0.223	0.214	NA	NA
2	20	A20	0.68	sample	sample	2740270	2866930	2604370	2740270	2737190	1.06	1.19	1.16	0.082	0.249	0.212	MAP2K5	5607
3	215	I23	0.68	allstar	allstar	3328260	2979450	2979160	2979450	3095623.33333333	1.15	1.11	1.26	0.203	0.146	0.329	NA	NA
2	154	G10	0.68	sample	sample	3003470	2768640	2546120	2768640	2772743.33333333	1.16	1.15	1.13	0.214	0.198	0.18	PHKA1	5255
1	307	M19	0.68	sample	sample	2565570	2507500	2382790	2507500	2485286.66666667	1.15	1.15	1.17	0.202	0.196	0.225	STK16	8576
1	115	E19	0.68	sample	sample	2565160	2475320	2400100	2475320	2480193.33333333	1.15	1.13	1.18	0.202	0.178	0.236	MAP3K7	6885
2	91	D19	0.68	sample	sample	2977760	2762020	2960620	2960620	2900133.33333333	1.15	1.14	1.32	0.202	0.195	0.397	FRK	2444
2	153	G09	0.68	sample	sample	2986350	2766750	2369310	2766750	2707470	1.15	1.15	1.05	0.206	0.197	0.076	STK22D	83942
1	167	G23	0.68	sicon2	sicon2	2666790	2509270	2348550	2509270	2508203.33333333	1.2	1.15	1.15	0.258	0.197	0.205	NA	NA
3	180	H12	0.67	sample	sample	3323310	3127510	2641840	3127510	3030886.66666667	1.15	1.16	1.11	0.201	0.216	0.156	NA	NA
1	201	I09	0.67	sample	sample	2554470	2655040	2356460	2554470	2521990	1.15	1.21	1.16	0.196	0.279	0.209	UMPK	7371
2	110	E14	0.67	sample	sample	2974650	2851420	2576010	2851420	2800693.33333333	1.15	1.18	1.15	0.2	0.241	0.197	DYRK1B	9149
1	29	B05	0.67	sample	sample	2465890	2584470	2355150	2465890	2468503.33333333	1.11	1.18	1.16	0.145	0.24	0.209	LATS2	26524
3	297	M09	0.67	sample	sample	3403840	3055490	2737930	3055490	3065753.33333333	1.18	1.13	1.15	0.235	0.182	0.208	KUB3	91419
2	297	M09	0.66	sample	sample	2970180	2903480	2593640	2903480	2822433.33333333	1.15	1.2	1.15	0.198	0.267	0.207	STK23	26576
3	202	I10	0.66	sample	sample	3227930	3196330	2733220	3196330	3052493.33333333	1.12	1.19	1.15	0.159	0.247	0.205	NA	NA
1	136	F16	0.66	sample	sample	2553770	2498030	2498500	2498500	2516766.66666667	1.15	1.14	1.23	0.196	0.191	0.294	STK3	6788
3	40	B16	0.65	sample	sample	3310000	2968000	2930370	2968000	3069456.66666667	1.14	1.1	1.24	0.195	0.14	0.306	NA	NA
3	122	F02	0.65	sicon2	sicon2	3347460	2980310	2727530	2980310	3018433.33333333	1.16	1.11	1.15	0.211	0.146	0.202	NA	NA
2	3	A03	0.65	sample	sample	2670750	2751100	2635310	2670750	2685720	1.03	1.14	1.17	0.045	0.189	0.23	MAP3K11	4296
2	372	P12	0.65	sample	sample	2960250	2796810	2585390	2796810	2780816.66666667	1.14	1.16	1.15	0.193	0.213	0.202	PFKFB2	5208
2	203	I11	0.65	sample	sample	3010110	2750880	2434390	2750880	2731793.33333333	1.16	1.14	1.08	0.218	0.189	0.115	HIPK2	28996
2	62	C14	0.65	sample	sample	2927180	2750730	2591980	2750730	2756630	1.13	1.14	1.15	0.177	0.189	0.206	ERN2	10595
1	200	I08	0.65	sample	sample	2664360	2493600	2325090	2493600	2494350	1.19	1.14	1.14	0.257	0.188	0.19	PDGFRL	5157
2	204	I12	0.64	sample	sample	2976540	2748540	2519680	2748540	2748253.33333333	1.15	1.14	1.12	0.201	0.188	0.165	GAK	2580
2	4	A04	0.64	sample	sample	3034940	2661020	2582410	2661020	2759456.66666667	1.17	1.1	1.15	0.229	0.141	0.2	MAP2K4	6416
2	239	J23	0.64	allstar	allstar	2956610	2884140	2551210	2884140	2797320	1.14	1.2	1.14	0.192	0.257	0.183	NA	NA
3	119	E23	0.64	sicon2	sicon2	3301320	2903170	2755830	2903170	2986773.33333333	1.14	1.08	1.16	0.191	0.108	0.217	NA	NA
1	343	O07	0.64	sample	sample	2648630	2489810	2224670	2489810	2454370	1.19	1.14	1.09	0.248	0.186	0.126	NEK5	341676
2	104	E08	0.64	sample	sample	2908570	2744960	2708360	2744960	2787296.66666667	1.12	1.14	1.2	0.168	0.186	0.269	MAPKAPK2	9261
2	258	K18	0.63	sample	sample	3035330	2705920	2577390	2705920	2772880	1.17	1.12	1.15	0.23	0.165	0.197	FRDA	2395
2	278	L14	0.63	sample	sample	2951640	2673520	2607660	2673520	2744273.33333333	1.14	1.11	1.16	0.189	0.148	0.214	PIK3C3	5289
3	56	C08	0.63	sample	sample	3464590	2801680	2718350	2801680	2994873.33333333	1.2	1.04	1.15	0.261	0.057	0.197	NA	NA
3	249	K09	0.63	sample	sample	3154830	3059720	2735670	3059720	2983406.66666667	1.09	1.14	1.15	0.126	0.184	0.206	PFKM	5213
2	146	G02	0.63	sicon2	sicon2	2948700	2722440	2625680	2722440	2765606.66666667	1.14	1.13	1.17	0.188	0.174	0.224	NA	NA
1	179	H11	0.63	sample	sample	2514950	2733270	2334530	2514950	2527583.33333333	1.13	1.25	1.15	0.174	0.321	0.196	ERBB2	2064
1	294	M06	0.63	sample	sample	2586600	2484930	2264060	2484930	2445196.66666667	1.16	1.14	1.11	0.214	0.183	0.152	RIPK2	8767
3	98	E02	0.63	sicon2	sicon2	3291840	2981690	2736940	2981690	3003490	1.14	1.11	1.15	0.187	0.147	0.207	NA	NA
2	131	F11	0.63	sample	sample	2945200	2985980	2573000	2945200	2834726.66666667	1.14	1.24	1.14	0.186	0.307	0.195	PRKCG	5582
3	195	I03	0.62	sample	sample	3290230	2960790	2716170	2960790	2989063.33333333	1.14	1.1	1.15	0.186	0.137	0.196	AMHR2	269
1	256	K16	0.62	sample	sample	2552130	2483000	2143850	2483000	2392993.33333333	1.14	1.13	1.05	0.195	0.182	0.073	CAMKK2	10645
1	374	P14	0.62	sample	sample	2507030	2482760	2387680	2482760	2459156.66666667	1.12	1.13	1.17	0.169	0.182	0.228	RFK	55312
1	258	K18	0.62	sample	sample	2535410	2482960	2265860	2482960	2428076.66666667	1.14	1.13	1.11	0.185	0.182	0.153	KIAA1639	57729
3	306	M18	0.62	sample	sample	3056790	3079990	2709610	3056790	2948796.66666667	1.06	1.14	1.14	0.08	0.193	0.193	NA	NA
3	154	G10	0.61	sample	sample	3230110	3049250	2967710	3049250	3082356.66666667	1.12	1.13	1.25	0.16	0.179	0.324	NA	NA
1	206	I14	0.61	sample	sample	2653230	2383060	2325260	2383060	2453850	1.19	1.09	1.14	0.251	0.123	0.19	STK17B	9262
3	268	L04	0.61	sample	sample	3280310	2747380	2851700	2851700	2959796.66666667	1.13	1.02	1.2	0.182	0.029	0.266	NA	NA
3	347	O11	0.61	sample	sample	3280310	2946860	2760950	2946860	2996040	1.13	1.09	1.16	0.182	0.13	0.22	MAPK12	6300
3	3	A03	0.61	sample	sample	3317420	2945460	2703920	2945460	2988933.33333333	1.15	1.09	1.14	0.198	0.129	0.19	N4BP2	55728
3	219	J03	0.61	sample	sample	3339980	2987960	2703510	2987960	3010483.33333333	1.16	1.11	1.14	0.208	0.15	0.189	NA	NA
2	13	A13	0.6	sample	sample	2905290	2725130	2679950	2725130	2770123.33333333	1.12	1.13	1.19	0.166	0.175	0.254	PRKX	5613
3	106	E10	0.6	sample	sample	3273590	3057780	2698400	3057780	3009923.33333333	1.13	1.14	1.14	0.179	0.183	0.187	NA	NA
3	126	F06	0.59	sample	sample	3269480	2969310	2696300	2969310	2978363.33333333	1.13	1.1	1.14	0.177	0.141	0.186	NA	NA
1	110	E14	0.59	sample	sample	2409030	2467100	2333590	2409030	2403240	1.08	1.13	1.14	0.112	0.173	0.195	NEK4	6787
1	357	O21	0.59	sample	sample	2508000	2470420	2315910	2470420	2431443.33333333	1.12	1.13	1.14	0.17	0.175	0.184	CDKL5	6792
1	324	N12	0.59	sample	sample	2353920	2503400	2315760	2353920	2391026.66666667	1.06	1.14	1.14	0.078	0.194	0.184	GK	2710
3	330	N18	0.59	sample	sample	3334870	2915090	2693410	2915090	2981123.33333333	1.15	1.08	1.14	0.206	0.114	0.184	NA	NA
2	113	E17	0.59	sample	sample	2924500	2871710	2483520	2871710	2759910	1.13	1.19	1.1	0.176	0.251	0.144	VRK2	7444
2	150	G06	0.59	sample	sample	2923470	2684220	2665120	2684220	2757603.33333333	1.13	1.11	1.19	0.175	0.154	0.246	PKIA	5569
2	163	G19	0.59	sample	sample	2934630	2716680	2398380	2716680	2683230	1.13	1.13	1.07	0.181	0.171	0.094	ADRBK2	157
2	272	L08	0.58	sample	sample	2868840	2715350	2595880	2715350	2726690	1.11	1.13	1.15	0.148	0.17	0.208	CHEK2	11200
1	38	B14	0.58	sample	sample	2505930	2461870	2351480	2461870	2439760	1.12	1.12	1.15	0.169	0.17	0.206	EPHA7	2045
1	379	P19	0.58	sample	sample	2797860	2459620	2307700	2459620	2521726.66666667	1.25	1.12	1.13	0.328	0.168	0.179	NYD-SP25	89882
3	233	J17	0.58	sample	sample	3257540	2594770	2918960	2918960	2923756.66666667	1.13	0.963	1.23	0.172	-0.054	0.3	NA	NA
1	341	O05	0.57	sample	sample	2572870	2257550	2307350	2307350	2379256.66666667	1.15	1.03	1.13	0.207	0.045	0.179	PIP5KL1	138429
2	353	O17	0.57	sample	sample	2913430	2676230	2650090	2676230	2746583.33333333	1.13	1.11	1.18	0.17	0.149	0.238	RAGE	5891
3	342	O06	0.57	sample	sample	3044570	3020350	2820850	3020350	2961923.33333333	1.05	1.12	1.19	0.075	0.165	0.251	NA	NA
2	94	D22	0.56	sample	sample	3058010	2490080	2539040	2539040	2695710	1.18	1.03	1.13	0.24	0.045	0.176	LOC390226	390226
3	201	I09	0.56	sample	sample	3165270	3168630	2677820	3165270	3003906.66666667	1.09	1.18	1.13	0.131	0.234	0.176	DLG1	1739
3	242	K02	0.56	allstar	allstar	3191030	3018100	2986000	3018100	3065043.33333333	1.1	1.12	1.26	0.142	0.164	0.333	NA	NA
1	70	C22	0.56	sample	sample	2482780	2451950	2400200	2451950	2444976.66666667	1.11	1.12	1.18	0.155	0.164	0.236	CLK1	1195
2	260	K20	0.56	sample	sample	3009160	2703390	2356680	2703390	2689743.33333333	1.16	1.12	1.05	0.217	0.164	0.068	PRPS2	5634
3	248	K08	0.56	sample	sample	3246930	3131180	2672370	3131180	3016826.66666667	1.12	1.16	1.13	0.167	0.217	0.173	NA	NA
3	220	J04	0.56	sample	sample	3236430	3065430	2674670	3065430	2992176.66666667	1.12	1.14	1.13	0.163	0.187	0.174	NA	NA
3	94	D22	0.56	sample	sample	3112800	3193300	2674630	3112800	2993576.66666667	1.08	1.19	1.13	0.107	0.246	0.174	NA	NA
3	65	C17	0.56	sample	sample	3441680	2916430	2674570	2916430	3010893.33333333	1.19	1.08	1.13	0.251	0.115	0.174	MAPK10	5602
2	245	K05	0.56	sample	sample	2907110	2585780	2534660	2585780	2675850	1.12	1.07	1.13	0.167	0.1	0.173	ASK	10926
2	326	N14	0.55	sample	sample	2978190	2699340	2519770	2699340	2732433.33333333	1.15	1.12	1.12	0.202	0.162	0.165	HIPK4	147746
2	257	K17	0.55	sample	sample	3084360	2581760	2533120	2581760	2733080	1.19	1.07	1.13	0.253	0.098	0.172	PACSIN1	29993
2	17	A17	0.55	sample	sample	2811900	2696010	2600740	2696010	2702883.33333333	1.09	1.12	1.16	0.119	0.16	0.21	PRKAR1B	5575
2	227	J11	0.55	sample	sample	2768350	2695850	2545220	2695850	2669806.66666667	1.07	1.12	1.13	0.097	0.16	0.179	ULK4	54986
2	46	B22	0.55	sample	sample	2764180	2695110	2532970	2695110	2664086.66666667	1.07	1.12	1.13	0.095	0.159	0.172	IGF2R	3482
3	231	J15	0.54	sample	sample	3233250	2885370	2690760	2885370	2936460	1.12	1.07	1.13	0.161	0.099	0.183	NA	NA
3	41	B17	0.54	sample	sample	3232450	3016600	2494460	3016600	2914503.33333333	1.12	1.12	1.05	0.161	0.163	0.073	NA	NA
3	170	H02	0.54	sicon2	sicon2	3232100	2823950	2697040	2823950	2917696.66666667	1.12	1.05	1.14	0.161	0.068	0.186	NA	NA
1	67	C19	0.54	sample	sample	2460950	2554430	2289080	2460950	2434820	1.1	1.17	1.12	0.142	0.223	0.167	HK1	3098
1	171	H03	0.54	sample	sample	2305940	2439740	2306020	2306020	2350566.66666667	1.03	1.11	1.13	0.049	0.157	0.178	JAK3	3718
3	143	F23	0.54	sicon2	sicon2	3516620	3002420	2626730	3002420	3048590	1.22	1.11	1.11	0.282	0.157	0.148	NA	NA
2	228	J12	0.53	sample	sample	2781450	2686220	2556540	2686220	2674736.66666667	1.07	1.11	1.14	0.104	0.155	0.186	TOPK	55872
3	305	M17	0.52	sample	sample	3141410	3031000	2652120	3031000	2941510	1.09	1.13	1.12	0.12	0.17	0.162	GSK3B	2932
3	151	G07	0.52	sample	sample	3559040	2989830	2601030	2989830	3049966.66666667	1.23	1.11	1.1	0.3	0.151	0.134	EPHB3	2049
3	109	E13	0.51	sample	sample	3173960	3129700	2648430	3129700	2984030	1.1	1.16	1.12	0.135	0.217	0.16	RIOK3	8780
3	108	E12	0.51	sample	sample	3214090	2241970	2652780	2652780	2702946.66666667	1.11	0.832	1.12	0.153	-0.265	0.162	NA	NA
3	138	F18	0.51	sample	sample	2885350	3098690	2647500	2885350	2877180	0.998	1.15	1.12	-0.003	0.202	0.159	NA	NA
3	157	G13	0.51	sample	sample	3236520	2862630	2646250	2862630	2915133.33333333	1.12	1.06	1.12	0.163	0.088	0.158	EPHB4	2050
3	244	K04	0.51	sample	sample	3290910	2985140	2625310	2985140	2967120	1.14	1.11	1.11	0.187	0.148	0.147	NA	NA
2	280	L16	0.51	sample	sample	2871070	2677420	2508060	2677420	2685516.66666667	1.11	1.11	1.12	0.149	0.15	0.158	ROCK2	9475
3	78	D06	0.51	sample	sample	3177410	2984580	2781120	2984580	2981036.66666667	1.1	1.11	1.17	0.136	0.148	0.23	NA	NA
1	298	M10	0.51	sample	sample	2602730	2387170	2273920	2387170	2421273.33333333	1.17	1.09	1.12	0.223	0.125	0.158	MKNK2	2872
2	208	I16	0.5	sample	sample	3447450	2671140	2313060	2671140	2810550	1.33	1.11	1.03	0.413	0.147	0.041	MAPK6	5597
2	379	P19	0.5	sample	sample	2828250	2670710	2613980	2670710	2704313.33333333	1.09	1.11	1.16	0.128	0.146	0.218	KIAA1811	84446
1	163	G19	0.5	sample	sample	2472490	2627360	2258620	2472490	2452823.33333333	1.11	1.2	1.11	0.149	0.264	0.148	TAO1	9344
3	101	E05	0.5	sample	sample	3036010	2979390	2792450	2979390	2935950	1.05	1.11	1.18	0.07	0.146	0.236	CKM	1158
1	54	C06	0.49	sample	sample	2492640	2405180	2267820	2405180	2388546.66666667	1.12	1.1	1.11	0.161	0.136	0.154	ITPKC	80271
1	318	N06	0.49	sample	sample	2469130	2257590	2348040	2348040	2358253.33333333	1.11	1.03	1.15	0.147	0.045	0.204	RYK	6259
3	266	L02	0.49	allstar	allstar	3197660	2825040	2696010	2825040	2906236.66666667	1.11	1.05	1.14	0.145	0.069	0.185	NA	NA
2	99	E03	0.49	sample	sample	2964470	2531660	2496250	2531660	2664126.66666667	1.15	1.05	1.11	0.195	0.069	0.151	ITPK1	3705
3	82	D10	0.49	sample	sample	3171440	2971460	2666560	2971460	2936486.66666667	1.1	1.1	1.12	0.133	0.142	0.17	NA	NA
3	251	K11	0.49	sample	sample	3196580	2786180	2699340	2786180	2894033.33333333	1.11	1.03	1.14	0.145	0.049	0.187	PRKAA2	5563
3	6	A06	0.48	sample	sample	3195820	2701560	2657320	2701560	2851566.66666667	1.11	1	1.12	0.144	0.004	0.164	NA	NA
1	128	F08	0.48	sample	sample	2496000	2413550	2249840	2413550	2386463.33333333	1.12	1.1	1.1	0.163	0.141	0.143	MGC42105	167359
3	160	G16	0.48	sample	sample	3193770	3056300	2545180	3056300	2931750	1.1	1.13	1.07	0.144	0.182	0.102	NA	NA
1	40	B16	0.48	sample	sample	2289080	2468410	2261010	2289080	2339500	1.03	1.13	1.11	0.038	0.174	0.15	STK35	140901
2	117	E21	0.48	sample	sample	2858210	2753410	2415870	2753410	2675830	1.1	1.14	1.07	0.143	0.19	0.104	ARAF1	369
3	7	A07	0.47	sample	sample	3189150	2848310	2663210	2848310	2900223.33333333	1.1	1.06	1.12	0.141	0.081	0.168	XYLB	9942
3	246	K06	0.47	sample	sample	3189070	2854010	2701130	2854010	2914736.66666667	1.1	1.06	1.14	0.141	0.084	0.188	NA	NA
3	123	F03	0.47	sample	sample	3185130	2293170	2730940	2730940	2736413.33333333	1.1	0.851	1.15	0.14	-0.232	0.204	NA	NA
3	344	O08	0.47	sample	sample	3184730	2917030	2958870	2958870	3020210	1.1	1.08	1.25	0.139	0.115	0.32	NA	NA
3	127	F07	0.47	sample	sample	2906630	3277270	2621780	2906630	2935226.66666667	1.01	1.22	1.11	0.008	0.283	0.145	NA	NA
2	6	A06	0.46	sample	sample	2848970	2574230	2574820	2574820	2666006.66666667	1.1	1.07	1.15	0.138	0.093	0.196	FLJ13052	65220
2	130	F10	0.46	sample	sample	3075410	2563230	2482940	2563230	2707193.33333333	1.19	1.06	1.1	0.248	0.087	0.144	PIK3CD	5293
2	342	O06	0.46	sample	sample	2804090	2647710	2493110	2647710	2648303.33333333	1.08	1.1	1.11	0.115	0.134	0.149	STK29	9024
1	199	I07	0.46	sample	sample	2502660	2401220	1889340	2401220	2264406.66666667	1.12	1.1	0.927	0.167	0.134	-0.109	LIMK1	3984
2	164	G20	0.45	sample	sample	2866050	2513200	2479440	2513200	2619563.33333333	1.11	1.04	1.1	0.147	0.059	0.142	DGUOK	1716
2	53	C05	0.45	sample	sample	2843310	2400790	2855200	2843310	2699766.66666667	1.1	0.995	1.27	0.135	-0.007	0.345	ADCK4	79934
3	29	B05	0.45	sample	sample	3174850	2953830	2114110	2953830	2747596.66666667	1.1	1.1	0.892	0.135	0.133	-0.165	NA	NA
1	7	A07	0.45	sample	sample	2457420	2355230	2246670	2355230	2353106.66666667	1.1	1.08	1.1	0.14	0.106	0.141	EPHA8	2046
3	260	K20	0.45	sample	sample	3174080	2848370	2714240	2848370	2912230	1.1	1.06	1.14	0.135	0.081	0.195	NA	NA
1	334	N22	0.45	sample	sample	2574560	2392210	2245000	2392210	2403923.33333333	1.15	1.09	1.1	0.208	0.128	0.139	PIP5K2C	79837
2	38	B14	0.45	sample	sample	2772870	2641650	2528260	2641650	2647593.33333333	1.07	1.09	1.12	0.099	0.131	0.17	DLG2	1740
2	214	I22	0.44	sample	sample	2808730	2637590	2675310	2675310	2707210	1.08	1.09	1.19	0.118	0.128	0.251	CDK10	8558
3	147	G03	0.44	sample	sample	3146000	2942710	2785680	2942710	2958130	1.09	1.09	1.17	0.122	0.128	0.233	PLK3	1263
1	87	D15	0.44	sample	sample	2238900	2391040	2264610	2264610	2298183.33333333	1	1.09	1.11	0.006	0.128	0.152	DLG4	1742
3	5	A05	0.44	sample	sample	3164880	2945010	2204330	2945010	2771406.66666667	1.09	1.09	0.93	0.13	0.129	-0.105	NEK1	4750
3	191	H23	0.44	sicon2	sicon2	3164220	2841500	2655160	2841500	2886960	1.09	1.05	1.12	0.13	0.077	0.163	NA	NA
2	115	E19	0.43	sample	sample	2934120	2622210	2467790	2622210	2674706.66666667	1.13	1.09	1.1	0.181	0.12	0.135	KALRN	8997
1	347	O11	0.43	sample	sample	2438320	2212180	2323130	2323130	2324543.33333333	1.09	1.01	1.14	0.129	0.015	0.189	CSNK1G2	1455
2	105	E09	0.43	sample	sample	2857880	2632580	1144390	2632580	2211616.66666667	1.1	1.09	0.509	0.143	0.126	-0.974	PHKG1	5260
2	246	K06	0.43	sample	sample	2829550	2538470	2472550	2538470	2613523.33333333	1.09	1.05	1.1	0.128	0.073	0.138	PANK2	80025
2	358	O22	0.43	sample	sample	2793930	2653830	2465760	2653830	2637840	1.08	1.1	1.1	0.11	0.137	0.134	DLG3	1741
2	177	H09	0.43	sample	sample	2828580	2783790	2350700	2783790	2654356.66666667	1.09	1.15	1.05	0.128	0.206	0.065	KDR	3791
3	23	A23	0.43	sicon1	sicon1	2830250	2937020	3574980	2937020	3114083.33333333	0.979	1.09	1.51	-0.031	0.125	0.592	NA	NA
3	343	O07	0.42	sample	sample	3249090	2800630	2596940	2800630	2882220	1.12	1.04	1.1	0.168	0.056	0.131	TSKS	60385
3	167	G23	0.42	sicon2	sicon2	3154770	2894490	2772520	2894490	2940593.33333333	1.09	1.07	1.17	0.126	0.104	0.226	NA	NA
2	343	O07	0.42	sample	sample	2861050	2617280	2461810	2617280	2646713.33333333	1.11	1.08	1.1	0.144	0.117	0.131	NUCKS	64710
3	369	P09	0.42	sample	sample	3087910	2932000	2623280	2932000	2881063.33333333	1.07	1.09	1.11	0.095	0.122	0.146	NA	NA
2	276	L12	0.42	sample	sample	2854540	2625290	2330420	2625290	2603416.66666667	1.1	1.09	1.04	0.141	0.122	0.052	EIF2AK3	9451
1	178	H10	0.41	sample	sample	2429350	2331130	2298410	2331130	2352963.33333333	1.09	1.07	1.13	0.124	0.091	0.173	PINK1	65018
3	261	K21	0.41	sample	sample	3076150	2997910	2592720	2997910	2888926.66666667	1.06	1.11	1.09	0.089	0.154	0.129	C10ORF89	118672
1	156	G12	0.41	sample	sample	2491960	2378260	2078410	2378260	2316210	1.12	1.09	1.02	0.16	0.12	0.028	KIAA1361	57551
3	346	O10	0.41	sample	sample	3008970	2926730	2622680	2926730	2852793.33333333	1.04	1.09	1.11	0.058	0.12	0.146	NA	NA
1	299	M11	0.41	sample	sample	2301930	2468240	2226750	2301930	2332306.66666667	1.03	1.13	1.09	0.046	0.173	0.128	BMPR1B	658
3	165	G21	0.41	sample	sample	3162850	2926130	2464170	2926130	2851050	1.09	1.09	1.04	0.13	0.12	0.056	PCK2	5106
3	339	O03	0.4	sample	sample	3147870	2707720	2586480	2707720	2814023.33333333	1.09	1.01	1.09	0.123	0.008	0.126	NEK7	140609
2	27	B03	0.4	sample	sample	2813480	2539820	2465190	2539820	2606163.33333333	1.09	1.05	1.1	0.12	0.074	0.133	RET	5979
3	221	J05	0.39	sample	sample	2597680	2915940	2628820	2628820	2714146.66666667	0.898	1.08	1.11	-0.154	0.114	0.149	NA	NA
1	65	C17	0.39	sample	sample	2345050	2368020	2318790	2345050	2343953.33333333	1.05	1.08	1.14	0.073	0.114	0.186	FLJ34389	197259
2	28	B04	0.39	sample	sample	2760990	2610530	2554700	2610530	2642073.33333333	1.07	1.08	1.14	0.093	0.113	0.185	MELK	9833
3	117	E21	0.39	sample	sample	3224560	2913780	2479130	2913780	2872490	1.12	1.08	1.05	0.157	0.113	0.064	AK3L1	50808
2	346	O10	0.39	sample	sample	2684000	2609220	2576460	2609220	2623226.66666667	1.04	1.08	1.15	0.052	0.113	0.197	LMTK2	22853
3	63	C15	0.39	sample	sample	3131590	2964290	2407240	2964290	2834373.33333333	1.08	1.1	1.02	0.115	0.138	0.022	MAP2K2	5605
3	323	N11	0.39	sample	sample	3232960	2668780	2576730	2668780	2826156.66666667	1.12	0.991	1.09	0.161	-0.013	0.12	NA	NA
3	239	J23	0.38	allstar	allstar	3077840	2911060	2849850	2911060	2946250	1.06	1.08	1.2	0.09	0.112	0.265	NA	NA
3	340	O04	0.38	sample	sample	2728720	3196690	2574760	2728720	2833390	0.944	1.19	1.09	-0.083	0.247	0.119	NA	NA
1	323	N11	0.38	sample	sample	2461730	2362310	2201690	2362310	2341910	1.1	1.08	1.08	0.143	0.11	0.111	CAMK1G	57172
2	304	M16	0.38	sample	sample	2742700	2603120	2518390	2603120	2621403.33333333	1.06	1.08	1.12	0.083	0.109	0.164	PRKAG2	51422
2	244	K04	0.37	sample	sample	2795590	2813030	2357620	2795590	2655413.33333333	1.08	1.17	1.05	0.111	0.221	0.069	CDKN1A	1026
2	75	D03	0.37	sample	sample	2929810	2552030	2434620	2552030	2638820	1.13	1.06	1.08	0.178	0.081	0.115	CDC2L5	8621
3	203	I11	0.36	sample	sample	3221790	2898540	2541770	2898540	2887366.66666667	1.11	1.08	1.07	0.156	0.106	0.1	C9ORF96	169436
3	79	D07	0.36	sample	sample	3425310	2896320	2472800	2896320	2931476.66666667	1.18	1.08	1.04	0.245	0.105	0.061	NA	NA
1	189	H21	0.36	sample	sample	2401550	2436950	2105370	2401550	2314623.33333333	1.08	1.11	1.03	0.107	0.155	0.047	FLJ23356	84197
3	166	G22	0.36	sample	sample	3247440	2895700	2516960	2895700	2886700	1.12	1.08	1.06	0.168	0.104	0.086	NA	NA
