Plate	Well	Flag	Comment
10	F15	NA	this is a comment
10	G15	NA	this is a comment
10	H15	NA	this is a comment
10	I15	NA	this is a comment
10	J15	NA	this is a comment
10	K15	NA	this is a comment
10	L15	NA	this is a comment
10	M15	NA	this is a comment
10	N15	NA	this is a comment
10	O15	NA	this is a comment
10	P15	NA	this is a comment
10	A16	NA	this is a comment
10	B16	NA	this is a comment
10	C16	NA	this is a comment
10	D16	NA	this is a comment
10	E16	NA	this is a comment
10	F16	NA	this is a comment
10	G16	NA	this is a comment
10	H16	NA	this is a comment
10	I16	NA	this is a comment
10	J16	NA	this is a comment
10	K16	NA	this is a comment
10	L16	NA	this is a comment
10	M16	NA	this is a comment
10	N16	NA	this is a comment
10	O16	NA	this is a comment
10	P16	NA	this is a comment
10	A17	NA	this is a comment
10	B17	NA	this is a comment
10	C17	NA	this is a comment
10	D17	NA	this is a comment
10	E17	NA	this is a comment
10	F17	NA	this is a comment
10	G17	NA	this is a comment
10	H17	NA	this is a comment
10	I17	NA	this is a comment
10	J17	NA	this is a comment
10	K17	NA	this is a comment
10	L17	NA	this is a comment
10	M17	NA	this is a comment
10	N17	NA	this is a comment
10	O17	NA	this is a comment
10	P17	NA	this is a comment
10	A18	NA	this is a comment
10	B18	NA	this is a comment
10	C18	NA	this is a comment
10	D18	NA	this is a comment
10	E18	NA	this is a comment
10	F18	NA	this is a comment
10	G18	NA	this is a comment
10	H18	NA	this is a comment
10	I18	NA	this is a comment
10	J18	NA	this is a comment
10	K18	NA	this is a comment
10	L18	NA	this is a comment
10	M18	NA	this is a comment
10	N18	NA	this is a comment
10	O18	NA	this is a comment
10	P18	NA	this is a comment
10	A19	NA	this is a comment
10	B19	NA	this is a comment
10	C19	NA	this is a comment
10	D19	NA	this is a comment
10	E19	NA	this is a comment
10	F19	NA	this is a comment
10	G19	NA	this is a comment
10	H19	NA	this is a comment
10	I19	NA	this is a comment
10	J19	NA	this is a comment
10	K19	NA	this is a comment
10	L19	NA	this is a comment
10	M19	NA	this is a comment
10	N19	NA	this is a comment
10	O19	NA	this is a comment
10	P19	NA	this is a comment
10	A20	NA	this is a comment
10	B20	NA	this is a comment
10	C20	NA	this is a comment
10	D20	NA	this is a comment
10	E20	NA	this is a comment
10	F20	NA	this is a comment
10	G20	NA	this is a comment
10	H20	NA	this is a comment
10	I20	NA	this is a comment
10	J20	NA	this is a comment
10	K20	NA	this is a comment
10	L20	NA	this is a comment
10	M20	NA	this is a comment
10	N20	NA	this is a comment
10	O20	NA	this is a comment
10	P20	NA	this is a comment
10	A21	NA	this is a comment
10	B21	NA	this is a comment
10	C21	NA	this is a comment
10	D21	NA	this is a comment
10	E21	NA	this is a comment
10	F21	NA	this is a comment
10	G21	NA	this is a comment
10	H21	NA	this is a comment
10	I21	NA	this is a comment
10	J21	NA	this is a comment
10	K21	NA	this is a comment
10	L21	NA	this is a comment
10	M21	NA	this is a comment
10	N21	NA	this is a comment
10	O21	NA	this is a comment
10	P21	NA	this is a comment
10	A22	NA	this is a comment
10	B22	NA	this is a comment
10	C22	NA	this is a comment
10	D22	NA	this is a comment
10	E22	NA	this is a comment
10	F22	NA	this is a comment
10	G22	NA	this is a comment
10	H22	NA	this is a comment
10	I22	NA	this is a comment
10	J22	NA	this is a comment
10	K22	NA	this is a comment
10	L22	NA	this is a comment
10	M22	NA	this is a comment
10	N22	NA	this is a comment
10	O22	NA	this is a comment
10	P22	NA	this is a comment
10	A23	NA	this is a comment
10	B23	NA	this is a comment
10	C23	NA	this is a comment
10	D23	NA	this is a comment
10	E23	NA	this is a comment
10	F23	NA	this is a comment
10	G23	NA	this is a comment
10	H23	NA	this is a comment
10	I23	NA	this is a comment
10	J23	NA	this is a comment
10	K23	NA	this is a comment
10	L23	NA	this is a comment
10	M23	NA	this is a comment
10	N23	NA	this is a comment
10	O23	NA	this is a comment
10	P23	NA	this is a comment
10	A24	NA	this is a comment
10	B24	NA	this is a comment
10	C24	NA	this is a comment
10	D24	NA	this is a comment
10	E24	NA	this is a comment
10	F24	NA	this is a comment
10	G24	NA	this is a comment
10	H24	NA	this is a comment
10	I24	NA	this is a comment
10	J24	NA	this is a comment
10	K24	NA	this is a comment
10	L24	NA	this is a comment
10	M24	NA	this is a comment
10	N24	NA	this is a comment
10	O24	NA	this is a comment
10	P24	NA	this is a comment
